Z_MIN,TUILE,TO_DALLE
"43,898",tile_x10y100,BO
"44,450",tile_x10y101,BO
"44,720",tile_x10y102,BN
"44,142",tile_x10y103,BN
"43,353",tile_x10y104,BN
"42,307",tile_x10y83,BR
"42,490",tile_x10y84,BR
"43,470",tile_x10y85,BR
"43,360",tile_x10y86,BR
"41,778",tile_x10y87,BQ
"42,017",tile_x10y88,BQ
"43,620",tile_x10y89,BQ
"43,560",tile_x10y90,BQ
"42,448",tile_x10y91,BQ
"42,752",tile_x10y92,BP
"43,940",tile_x10y93,BP
"43,930",tile_x10y94,BP
"42,999",tile_x10y95,BP
"43,810",tile_x10y96,BP
"43,535",tile_x10y97,BO
"43,538",tile_x10y98,BO
"44,100",tile_x10y99,BO
"43,558",tile_x1y83,AR
"43,050",tile_x1y84,AR
"43,920",tile_x1y85,AR
"43,990",tile_x1y86,AR
"42,102",tile_x1y87,AQ
"42,102",tile_x1y88,AQ
"42,155",tile_x1y89,AQ
"42,705",tile_x1y90,AQ
"42,588",tile_x1y91,AQ
"42,582",tile_x1y92,AP
"42,489",tile_x1y93,AP
"42,617",tile_x1y94,AP
"43,250",tile_x1y95,AP
"43,715",tile_x2y100,AO
"42,155",tile_x2y83,AR
"42,447",tile_x2y84,AR
"43,423",tile_x2y85,AR
"42,570",tile_x2y86,AR
"42,809",tile_x2y87,AQ
"42,102",tile_x2y88,AQ
"41,945",tile_x2y89,AQ
"42,770",tile_x2y90,AQ
"44,240",tile_x2y91,AQ
"43,222",tile_x2y92,AP
"42,440",tile_x2y93,AP
"42,742",tile_x2y94,AP
"42,857",tile_x2y95,AP
"42,931",tile_x2y96,AP
"43,019",tile_x2y97,AO
"42,988",tile_x2y98,AO
"43,251",tile_x2y99,AO
"43,716",tile_x3y100,AO
"44,495",tile_x3y101,AO
"42,722",tile_x3y83,AR
"43,720",tile_x3y84,AR
"43,350",tile_x3y85,AR
"42,446",tile_x3y86,AR
"43,280",tile_x3y87,AQ
"43,960",tile_x3y88,AQ
"42,401",tile_x3y89,AQ
"42,464",tile_x3y90,AQ
"42,600",tile_x3y91,AQ
"42,306",tile_x3y92,AP
"42,264",tile_x3y93,AP
"43,157",tile_x3y94,AP
"43,434",tile_x3y95,AP
"43,721",tile_x3y96,AP
"43,413",tile_x3y97,AO
"43,399",tile_x3y98,AO
"43,483",tile_x3y99,AO
"45,140",tile_x4y100,AO
"45,230",tile_x4y101,AO
"44,200",tile_x4y102,AN
"42,763",tile_x4y83,AR
"42,414",tile_x4y84,AR
"42,880",tile_x4y85,AR
"42,364",tile_x4y86,AR
"43,220",tile_x4y87,AQ
"43,230",tile_x4y88,AQ
"42,394",tile_x4y89,AQ
"43,488",tile_x4y90,AQ
"43,535",tile_x4y91,AQ
"44,095",tile_x4y92,AP
"44,490",tile_x4y93,AP
"44,028",tile_x4y94,AP
"43,914",tile_x4y95,AP
"44,800",tile_x4y96,AP
"44,980",tile_x4y97,AO
"45,000",tile_x4y98,AO
"44,792",tile_x4y99,AO
"44,170",tile_x5y100,AO
"44,170",tile_x5y101,AO
"44,435",tile_x5y102,AN
"45,220",tile_x5y103,AN
"43,540",tile_x5y83,AR
"42,481",tile_x5y84,AR
"43,170",tile_x5y85,AR
"42,448",tile_x5y86,AR
"42,820",tile_x5y87,AQ
"42,423",tile_x5y88,AQ
"42,473",tile_x5y89,AQ
"44,170",tile_x5y90,AQ
"43,517",tile_x5y91,AQ
"43,149",tile_x5y92,AP
"43,650",tile_x5y93,AP
"44,680",tile_x5y94,AP
"43,794",tile_x5y95,AP
"43,685",tile_x5y96,AP
"43,743",tile_x5y97,AO
"44,050",tile_x5y98,AO
"44,148",tile_x5y99,AO
"44,341",tile_x6y100,AO
"45,020",tile_x6y101,AO
"44,567",tile_x6y102,AN
"44,661",tile_x6y103,AN
"43,460",tile_x6y83,AR
"42,191",tile_x6y84,AR
"42,422",tile_x6y85,AR
"42,134",tile_x6y86,AR
"42,115",tile_x6y87,AQ
"41,965",tile_x6y88,AQ
"42,520",tile_x6y89,AQ
"44,230",tile_x6y90,AQ
"44,340",tile_x6y91,AQ
"43,082",tile_x6y92,AP
"43,463",tile_x6y93,AP
"43,624",tile_x6y94,AP
"43,533",tile_x6y95,AP
"44,730",tile_x6y96,AP
"44,750",tile_x6y97,AO
"44,950",tile_x6y98,AO
"44,890",tile_x6y99,AO
"44,224",tile_x7y100,BO
"44,970",tile_x7y101,BO
"45,230",tile_x7y102,BN
"44,535",tile_x7y103,BN
"44,613",tile_x7y104,BN
"43,320",tile_x7y83,BR
"42,430",tile_x7y84,BR
"43,050",tile_x7y85,BR
"43,610",tile_x7y86,BR
"42,285",tile_x7y87,BQ
"42,027",tile_x7y88,BQ
"44,070",tile_x7y89,BQ
"44,040",tile_x7y90,BQ
"44,162",tile_x7y91,BQ
"42,841",tile_x7y92,BP
"44,460",tile_x7y93,BP
"43,375",tile_x7y94,BP
"43,473",tile_x7y95,BP
"44,600",tile_x7y96,BP
"44,660",tile_x7y97,BO
"44,810",tile_x7y98,BO
"44,550",tile_x7y99,BO
"44,206",tile_x8y100,BO
"44,910",tile_x8y101,BO
"44,502",tile_x8y102,BN
"44,350",tile_x8y103,BN
"44,657",tile_x8y104,BN
"43,640",tile_x8y83,BR
"42,468",tile_x8y84,BR
"43,290",tile_x8y85,BR
"43,770",tile_x8y86,BR
"42,122",tile_x8y87,BQ
"41,855",tile_x8y88,BQ
"43,725",tile_x8y89,BQ
"43,930",tile_x8y90,BQ
"44,080",tile_x8y91,BQ
"42,751",tile_x8y92,BP
"44,160",tile_x8y93,BP
"44,180",tile_x8y94,BP
"43,097",tile_x8y95,BP
"43,138",tile_x8y96,BP
"44,010",tile_x8y97,BO
"44,670",tile_x8y98,BO
"44,313",tile_x8y99,BO
"43,701",tile_x9y100,BO
"44,172",tile_x9y101,BO
"44,227",tile_x9y102,BN
"44,256",tile_x9y103,BN
"43,565",tile_x9y104,BN
"42,082",tile_x9y83,BR
"42,219",tile_x9y84,BR
"42,149",tile_x9y85,BR
"42,093",tile_x9y86,BR
"41,942",tile_x9y87,BQ
"41,688",tile_x9y88,BQ
"43,680",tile_x9y89,BQ
"43,610",tile_x9y90,BQ
"42,870",tile_x9y91,BQ
"42,872",tile_x9y92,BP
"44,040",tile_x9y93,BP
"44,180",tile_x9y94,BP
"43,215",tile_x9y95,BP
"43,196",tile_x9y96,BP
"43,411",tile_x9y97,BO
"44,090",tile_x9y98,BO
"43,715",tile_x9y99,BO
"43,829",tile_x10y105,BN
"43,846",tile_x11y100,BO
"43,497",tile_x11y101,BO
"43,644",tile_x11y102,BN
"43,797",tile_x11y103,BN
"43,311",tile_x11y104,BN
"43,494",tile_x11y105,BN
"43,430",tile_x11y82,BR
"41,999",tile_x11y83,BR
"43,380",tile_x11y84,BR
"43,410",tile_x11y85,BR
"42,009",tile_x11y86,BR
"41,647",tile_x11y87,BQ
"42,597",tile_x11y88,BQ
"43,090",tile_x11y89,BQ
"43,350",tile_x11y90,BQ
"42,606",tile_x11y91,BQ
"43,680",tile_x11y92,BP
"43,810",tile_x11y93,BP
"43,900",tile_x11y94,BP
"42,959",tile_x11y95,BP
"43,810",tile_x11y96,BP
"43,660",tile_x11y97,BO
"43,209",tile_x11y98,BO
"42,920",tile_x11y99,BO
"42,829",tile_x12y100,BO
"43,171",tile_x12y101,BO
"43,241",tile_x12y102,BN
"43,602",tile_x12y103,BN
"43,255",tile_x12y104,BN
"43,036",tile_x12y105,BN
"42,635",tile_x12y82,BR
"42,573",tile_x12y83,BR
"43,380",tile_x12y84,BR
"43,360",tile_x12y85,BR
"41,810",tile_x12y86,BR
"41,934",tile_x12y87,BQ
"42,596",tile_x12y88,BQ
"42,558",tile_x12y89,BQ
"42,364",tile_x12y90,BQ
"42,544",tile_x12y91,BQ
"42,460",tile_x12y92,BP
"43,550",tile_x12y93,BP
"43,700",tile_x12y94,BP
"42,753",tile_x12y95,BP
"43,829",tile_x12y96,BP
"43,460",tile_x12y97,BO
"43,550",tile_x12y98,BO
"43,164",tile_x12y99,BO
"43,058",tile_x13y100,BO
"43,008",tile_x13y101,BO
"42,958",tile_x13y102,BN
"43,151",tile_x13y103,BN
"42,885",tile_x13y104,BN
"42,933",tile_x13y105,BN
"44,660",tile_x13y106,BN
"42,089",tile_x13y81,BS
"41,935",tile_x13y82,BR
"43,250",tile_x13y83,BR
"43,190",tile_x13y84,BR
"42,570",tile_x13y85,BR
"41,429",tile_x13y86,BR
"41,461",tile_x13y87,BQ
"43,320",tile_x13y88,BQ
"43,070",tile_x13y89,BQ
"43,280",tile_x13y90,BQ
"42,014",tile_x13y91,BQ
"42,555",tile_x13y92,BP
"42,552",tile_x13y93,BP
"42,620",tile_x13y94,BP
"42,328",tile_x13y95,BP
"43,669",tile_x13y96,BP
"43,400",tile_x13y97,BO
"43,480",tile_x13y98,BO
"42,885",tile_x13y99,BO
"43,150",tile_x14y100,CO
"42,876",tile_x14y101,CO
"42,773",tile_x14y102,CN
"42,780",tile_x14y103,CN
"42,646",tile_x14y104,CN
"43,147",tile_x14y105,CN
"42,758",tile_x14y106,CN
"41,679",tile_x14y80,CS
"41,596",tile_x14y81,CS
"42,017",tile_x14y82,CR
"42,790",tile_x14y83,CR
"42,880",tile_x14y84,CR
"42,540",tile_x14y85,CR
"41,314",tile_x14y86,CR
"43,030",tile_x14y87,CQ
"43,000",tile_x14y88,CQ
"43,060",tile_x14y89,CQ
"43,157",tile_x14y90,CQ
"42,186",tile_x14y91,CQ
"43,350",tile_x14y92,CP
"43,240",tile_x14y93,CP
"42,417",tile_x14y94,CP
"42,340",tile_x14y95,CP
"42,484",tile_x14y96,CP
"42,535",tile_x14y97,CO
"43,260",tile_x14y98,CO
"42,626",tile_x14y99,CO
"43,090",tile_x15y100,CO
"43,300",tile_x15y101,CO
"43,057",tile_x15y102,CN
"42,305",tile_x15y103,CN
"42,462",tile_x15y104,CN
"43,139",tile_x15y105,CN
"42,881",tile_x15y106,CN
"43,284",tile_x15y107,CM
"41,898",tile_x15y80,CS
"42,021",tile_x15y81,CS
"42,300",tile_x15y82,CR
"43,140",tile_x15y83,CR
"43,010",tile_x15y84,CR
"42,036",tile_x15y85,CR
"41,153",tile_x15y86,CR
"43,030",tile_x15y87,CQ
"42,860",tile_x15y88,CQ
"43,000",tile_x15y89,CQ
"43,010",tile_x15y90,CQ
"42,115",tile_x15y91,CQ
"43,110",tile_x15y92,CP
"43,130",tile_x15y93,CP
"42,281",tile_x15y94,CP
"42,594",tile_x15y95,CP
"42,950",tile_x15y96,CP
"42,348",tile_x15y97,CO
"42,568",tile_x15y98,CO
"42,137",tile_x15y99,CO
"43,220",tile_x16y100,CO
"43,150",tile_x16y101,CO
